FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2019,100.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2020,101.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2021,102.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2022,107.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2023,113.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,05,'-- mobili, articoli e servizi per la casa',2024,114.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2016,100.4,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2017,100.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2018,100.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2019,101,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2020,101.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2021,102.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,06,-- servizi sanitari e spese per la salute,2022,103.5,,
